80.98.152.198, 2016-05-18 17:36:38, GET, /ec2_instance_power/default/index, HTTP/1.1, 500, 0.301618
80.98.152.198, 2016-05-18 17:36:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000244
80.98.152.198, 2016-05-18 17:37:53, GET, /admin/default/ticket/ec2_instance_power/80.98.152.198.2016-05-18.17-36-37.2d1fe978-2b08-4019-bbd3-07bf8b931790, HTTP/1.1, 200, 0.038412
80.98.152.198, 2016-05-18 17:37:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000271
80.98.152.198, 2016-05-18 17:41:11, GET, /ec2_instance_power/default/index, HTTP/1.1, 500, 0.307467
80.98.152.198, 2016-05-18 17:41:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000256
80.98.152.198, 2016-05-18 18:41:10, GET, /ec2_instance_power/default/index, HTTP/1.1, 200, 0.609852
80.98.152.198, 2016-05-18 18:41:23, GET, /ec2_instance_power/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001625
80.98.152.198, 2016-05-18 18:41:23, GET, /ec2_instance_power/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000187
80.98.152.198, 2016-05-18 18:41:23, GET, /ec2_instance_power/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000729
80.98.152.198, 2016-05-18 18:41:23, GET, /ec2_instance_power/static/css/calendar.css, HTTP/1.1, 304, 0.000172
80.98.152.198, 2016-05-18 18:41:23, GET, /ec2_instance_power/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000175
80.98.152.198, 2016-05-18 18:41:23, GET, /ec2_instance_power/static/js/jquery.js, HTTP/1.1, 304, 0.000176
80.98.152.198, 2016-05-18 18:41:23, GET, /ec2_instance_power/static/js/web2py.js, HTTP/1.1, 304, 0.000160
80.98.152.198, 2016-05-18 18:41:23, GET, /ec2_instance_power/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000597
80.98.152.198, 2016-05-18 18:41:23, GET, /ec2_instance_power/static/js/share.js, HTTP/1.1, 304, 0.000235
80.98.152.198, 2016-05-18 18:41:23, GET, /ec2_instance_power/static/js/calendar.js, HTTP/1.1, 304, 0.000177
80.98.152.198, 2016-05-18 18:41:28, GET, /ec2_instance_power/static/images/background.jpg, HTTP/1.1, 304, 0.001060
80.98.152.198, 2016-05-18 18:41:28, GET, /ec2_instance_power/static/images/facebook.png, HTTP/1.1, 304, 0.000228
80.98.152.198, 2016-05-18 18:41:28, GET, /ec2_instance_power/static/images/twitter.png, HTTP/1.1, 304, 0.000191
80.98.152.198, 2016-05-18 18:41:28, GET, /ec2_instance_power/static/images/gplus-32.png, HTTP/1.1, 304, 0.000184
80.98.152.198, 2016-05-18 18:41:28, GET, /ec2_instance_power/static/images/favicon.ico, HTTP/1.1, 200, 0.000381
80.98.152.198, 2016-05-18 18:42:58, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.026232
80.98.152.198, 2016-05-18 18:47:06, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.252987
80.98.152.198, 2016-05-18 18:47:08, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.299120
80.98.152.198, 2016-05-18 18:47:11, POST, /ec2_instance_power/default/powerOn, HTTP/1.1, 200, 0.621148
80.98.152.198, 2016-05-18 18:47:18, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.167792
80.98.152.198, 2016-05-18 18:47:22, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.100297
80.98.152.198, 2016-05-18 18:47:25, POST, /ec2_instance_power/default/powerOff, HTTP/1.1, 200, 0.287509
80.98.152.198, 2016-05-18 18:47:28, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.097149
80.98.152.198, 2016-05-18 18:47:30, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.145418
80.98.152.198, 2016-05-18 18:47:33, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.112100
80.98.152.198, 2016-05-18 18:47:33, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.102613
80.98.152.198, 2016-05-18 18:47:35, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.111694
80.98.152.198, 2016-05-18 18:47:39, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.107852
80.98.152.198, 2016-05-18 18:47:40, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.103099
80.98.152.198, 2016-05-18 18:47:46, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.115187
80.98.152.198, 2016-05-18 18:47:49, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.107259
80.98.152.198, 2016-05-18 18:47:49, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.106767
80.98.152.198, 2016-05-18 18:47:50, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.103243
80.98.152.198, 2016-05-18 18:47:52, POST, /ec2_instance_power/default/data, HTTP/1.1, 200, 0.176272
173.252.88.85, 2016-05-18 18:48:13, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.023677
31.13.109.122, 2016-05-18 18:48:17, GET, /ec2_instance_power/static/images/favicon.ico, HTTP/1.1, 206, 0.000309
31.13.109.122, 2016-05-18 18:48:17, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.026491
31.13.98.118, 2016-05-18 18:48:17, GET, /ec2_instance_power/static/images/favicon.ico, HTTP/1.1, 206, 0.005641
31.13.98.119, 2016-05-18 18:48:17, GET, /ec2_instance_power/default/docserver, HTTP/1.1, 200, 0.023801
31.13.100.118, 2016-05-18 18:48:18, GET, /ec2_instance_power/static/images/favicon.ico, HTTP/1.1, 200, 0.000355
31.13.100.112, 2016-05-18 18:48:18, GET, /ec2_instance_power/static/images/favicon.ico, HTTP/1.1, 200, 0.000206
31.13.109.117, 2016-05-18 18:48:18, GET, /ec2_instance_power/static/images/favicon.ico, HTTP/1.1, 200, 0.000255
