127.0.0.1, 2016-05-06 15:59:53, GET, /, HTTP/1.1, 303, 0.000924
127.0.0.1, 2016-05-06 15:59:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.330354
127.0.0.1, 2016-05-06 15:59:53, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000497
127.0.0.1, 2016-05-06 15:59:53, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000495
127.0.0.1, 2016-05-06 15:59:53, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000461
127.0.0.1, 2016-05-06 15:59:53, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000493
127.0.0.1, 2016-05-06 15:59:53, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000499
127.0.0.1, 2016-05-06 15:59:53, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000357
127.0.0.1, 2016-05-06 15:59:53, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000362
127.0.0.1, 2016-05-06 15:59:53, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000346
127.0.0.1, 2016-05-06 15:59:53, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000371
127.0.0.1, 2016-05-06 15:59:53, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000337
127.0.0.1, 2016-05-06 15:59:53, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000462
127.0.0.1, 2016-05-06 15:59:53, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000457
127.0.0.1, 2016-05-06 15:59:53, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000335
127.0.0.1, 2016-05-06 15:59:53, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000406
127.0.0.1, 2016-05-06 15:59:53, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000477
127.0.0.1, 2016-05-06 15:59:54, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000366
127.0.0.1, 2016-05-06 16:00:02, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 303, 0.086303
127.0.0.1, 2016-05-06 16:00:02, GET, /admin/default/index, HTTP/1.1, 200, 0.033971
